Tick;Step;Energy;Government_announce_date;Human_gain_by_age;Immune;Infected;Initial_infected_rate;obedient;Obey_ratio;Rule;Ticks;Vulnerable_class_ratio;0_Position;1_Position;ID
0;0;7;96;10;False;False;1;False;60;;0;30;74.0;71.0;4ae5ad4d-5a94-487a-8d28-d871887e510f
0;0;15;96;10;False;False;1;False;60;;0;30;83.0;86.0;62302443-f139-4916-8afa-64e9afac3995
0;0;18;96;10;False;False;1;False;60;;0;30;59.0;14.0;b8a82229-aef4-40a6-bf3c-c1423006ac7b
0;0;24;96;10;False;False;1;False;60;;0;30;44.0;5.0;372d980a-2513-4d2b-8ac5-1bf270057ee8
0;0;22;96;10;False;False;1;False;60;;0;30;90.0;86.0;7d37b0f8-3ae7-4621-8a4c-7fbaeea38455
0;0;7;96;10;False;False;1;False;60;;0;30;80.0;67.0;983e1b74-7f41-4d4a-bae7-48a384df954c
0;0;24;96;10;False;False;1;False;60;;0;30;72.0;11.0;4153ecc8-c5fa-4ec8-bbb8-80b77e13bfa4
0;0;23;96;10;False;False;1;False;60;;0;30;70.0;17.0;f4b66d5b-d662-4b4d-ab15-c42afe311613
0;0;23;96;10;False;False;1;False;60;;0;30;78.0;31.0;3ba96c38-3483-42c3-a375-22fd31e29a9b
0;0;2;96;10;False;False;1;False;60;;0;30;90.0;74.0;dc6ec0c1-0b0c-40c1-8df1-0ab47bf6fcb0
0;0;16;96;10;False;False;1;False;60;;0;30;86.0;67.0;7c830b4b-0d02-4072-acb5-3f12884ce51f
0;0;9;96;10;False;False;1;False;60;;0;30;13.0;69.0;ef4d873d-1423-40d9-bef3-a670ab5fa394
0;0;16;96;10;False;False;1;False;60;;0;30;4.0;45.0;402150b6-3a6e-428f-a28a-d984c4f7e208
0;0;24;96;10;False;False;1;False;60;;0;30;82.0;9.0;7c6030ca-b5bf-42f8-b683-af96aad4139f
0;0;18;96;10;False;False;1;False;60;;0;30;82.0;11.0;21a49de0-ff86-4106-a01a-0cc1d6ad8d8f
0;0;22;96;10;False;True;1;False;60;;0;30;0.0;64.0;0fe5ca03-7481-47ac-b102-feed617dfe69
